username,profile_url,follower_count,found_in_query
daytona,https://www.tiktok.com/@daytona,325.4K,Dayton MN
noorahgrandma1,https://www.tiktok.com/@noorahgrandma1,325.4K,Dayton MN
nashypaws,https://www.tiktok.com/@nashypaws,323.4K,Minnesota based
highland_crystal_ultra,https://www.tiktok.com/@highland_crystal_ultra,321.5K,Minnesota hiker
d.thetruckguy,https://www.tiktok.com/@d.thetruckguy,317.1K,Minnesota truck guy
animalrescue_pilo,https://www.tiktok.com/@animalrescue_pilo,314.3K,Minnesota animal rescue
thehutchinsonfamily,https://www.tiktok.com/@thehutchinsonfamily,313.5K,Hutchinson MN
thehutchinsons,https://www.tiktok.com/@thehutchinsons,313.5K,Hutchinson MN
paul.hagiazo,https://www.tiktok.com/@paul.hagiazo,303K,St Paul
sakura_personaltrainer,https://www.tiktok.com/@sakura_personaltrainer,299.5K,Minnesota personal trainer
mplsingapore,https://www.tiktok.com/@mplsingapore,296.8K,MPLS
lakecomoboat,https://www.tiktok.com/@lakecomoboat,296.7K,Minnesota lake boat
americascarguy,https://www.tiktok.com/@americascarguy,287.5K,Minnesota car guy
farhatafra67,https://www.tiktok.com/@farhatafra67,286.8K,Red Wing
littlebirdiecanada,https://www.tiktok.com/@littlebirdiecanada,286.1K,Little Canada
liataza,https://www.tiktok.com/@liataza,280.7K,Minne
renstillwater,https://www.tiktok.com/@renstillwater,275.5K,Stillwater
allegedly.1,https://www.tiktok.com/@allegedly.1,272.5K,International Falls
hopkinszn,https://www.tiktok.com/@hopkinszn,263.9K,Hopkins MN
hopkinz.szn,https://www.tiktok.com/@hopkinz.szn,263.9K,Hopkins MN
mncortess,https://www.tiktok.com/@mncortess,262.5K,MN
minnieeeeee__,https://www.tiktok.com/@minnieeeeee__,256K,Minne
wehealthduluth,https://www.tiktok.com/@wehealthduluth,253.3K,Duluth MN
lifeatstpauls,https://www.tiktok.com/@lifeatstpauls,253.2K,St Paul Minnesota
alanis,https://www.tiktok.com/@alanis,251.5K,Minnesota songwriter
jordanmarcel75nd,https://www.tiktok.com/@jordanmarcel75nd,247.7K,Jordan MN
olga_food_blogger,https://www.tiktok.com/@olga_food_blogger,244.8K,Minnesota food blogger
thecraftcardio,https://www.tiktok.com/@thecraftcardio,240.6K,Minnesota DIY home
fitbyscar,https://www.tiktok.com/@fitbyscar,236.6K,Minnesota personal trainer
harleydavidson,https://www.tiktok.com/@harleydavidson,231.9K,Minnesota harley
hd,https://www.tiktok.com/@hd,231.1K,Minnesota weightlifting
hidilyndiaz,https://www.tiktok.com/@hidilyndiaz,231.1K,Minnesota weightlifting
gym__trainer,https://www.tiktok.com/@gym__trainer,227.5K,Minnesota gym trainer
gym___trainer,https://www.tiktok.com/@gym___trainer,227.5K,Minnesota gym trainer
markkearneykayak,https://www.tiktok.com/@markkearneykayak,224.3K,Minnesota kayaking
mn_design_8,https://www.tiktok.com/@mn_design_8,221.2K,MN
emilykchen,https://www.tiktok.com/@emilykchen,208.8K,Minnesota yoga instructor
vuongtuhoayogi,https://www.tiktok.com/@vuongtuhoayogi,207.2K,Minnesota yoga instructor
rapilates,https://www.tiktok.com/@rapilates,205.9K,Minnesota pilates instructor
stpgallery,https://www.tiktok.com/@stpgallery,205.3K,STP
carguy,https://www.tiktok.com/@carguy,202.2K,Minnesota car guy
carguytaste,https://www.tiktok.com/@carguytaste,202.2K,Minnesota car guy
minteachersori,https://www.tiktok.com/@minteachersori,202K,Minnesota teacher
entrepreneur,https://www.tiktok.com/@entrepreneur,200.1K,Minnesota entrepreneur
msdanceteam14,https://www.tiktok.com/@msdanceteam14,199.7K,Minnesota dance team
toddcantwell14,https://www.tiktok.com/@toddcantwell14,198.4K,TC
