channel_name,handle,profile_url,subscriber_count,found_in_query
Minnesota Monsters,,https://www.youtube.com/results?search_query=Minnesota+Monsters,1.8K,Minnesota football
University of Minnesota Golden Gopher Esports,,https://www.youtube.com/results?search_query=University+of+Minnesota+Golden+Gopher+Esports,1.8K,Minnesota tech
Minnesota Painters Direct,,https://www.youtube.com/results?search_query=Minnesota+Painters+Direct,1.8K,Minnesota home improvement
Old House Renovation,,https://www.youtube.com/results?search_query=Old+House+Renovation,1.8K,Minnesota renovation
Dream Team Farm,,https://www.youtube.com/results?search_query=Dream+Team+Farm,1.8K,Minnesota farm animals
Hopkins Center for the Arts MN,,https://www.youtube.com/results?search_query=Hopkins+Center+for+the+Arts+MN,1.8K,Hopkins Minnesota
Chanhassen Restoration Services,@chanhassenrestorationservi8389,https://www.youtube.com/results?search_query=Chanhassen+Restoration+Services,1.8K,Chanhassen MN
Evan the best,,https://www.youtube.com/results?search_query=Evan+the+best,1.8K,Minnesota table tennis
Bruce Wahlstrom,,https://www.youtube.com/results?search_query=Bruce+Wahlstrom,1.8K,Minnesota dock
DJ Meyer,@djmeyer9224,https://www.youtube.com/results?search_query=DJ+Meyer,1.8K,Minnesota gun shop
Aluminum Cabinet Co.,,https://www.youtube.com/results?search_query=Aluminum+Cabinet+Co.,1.8K,Minnesota cabinet
Truck Access Plus,,https://www.youtube.com/results?search_query=Truck+Access+Plus,1.8K,Minnesota truck accessories
ToolMetrix,,https://www.youtube.com/results?search_query=ToolMetrix,1.8K,Minnesota woodworking
"Minnesota State University, Mankato ONLINE",,"https://www.youtube.com/results?search_query=Minnesota+State+University,+Mankato+ONLINE",1.8K,Mankato Minnesota
Driven Coffee,,https://www.youtube.com/results?search_query=Driven+Coffee,1.8K,Minnesota coffee
MinnesotaPRSA,,https://www.youtube.com/results?search_query=MinnesotaPRSA,1.8K,Minnesota interview
Minnesota Basketball,@minnesotabasketball9542,https://www.youtube.com/results?search_query=Minnesota+Basketball,1.8K,Minnesota basketball
Minnesota State Programs,,https://www.youtube.com/results?search_query=Minnesota+State+Programs,1.8K,Minnesota State sports
MzNotaryMN,,https://www.youtube.com/results?search_query=MzNotaryMN,1.8K,Minnesota tech
St Gabriel the Archangel-Hopkins,,https://www.youtube.com/results?search_query=St+Gabriel+the+Archangel-Hopkins,1.8K,Hopkins Minnesota
Children of Tomorrow MN,,https://www.youtube.com/results?search_query=Children+of+Tomorrow+MN,1.8K,Chanhassen MN
Westmor Industries,,https://www.youtube.com/results?search_query=Westmor+Industries,1.8K,Minnesota truck accessories
MNSU AMET Department,,https://www.youtube.com/results?search_query=MNSU+AMET+Department,1.8K,Minnesota state university
Redmond Apartments Minneapolis MN,,https://www.youtube.com/results?search_query=Redmond+Apartments+Minneapolis+MN,1.79K,Minnesota shopping
Eric Christensen,,https://www.youtube.com/results?search_query=Eric+Christensen,1.79K,Minnesota shopping
