username,profile_url,follower_count,found_in_query
minnesotafanpage3,https://www.tiktok.com/@minnesotafanpage3,3401,Minnesota vegan
minnesotamom55313,https://www.tiktok.com/@minnesotamom55313,3183,Minnesota mom
minnesota_giirl7,https://www.tiktok.com/@minnesota_giirl7,2911,Minnesota girl
twincity223,https://www.tiktok.com/@twincity223,2806,Twin Cities TikTok
lizzy_glammour,https://www.tiktok.com/@lizzy_glammour,2586,Minnesota makeup artist
minnesota_halaalfood,https://www.tiktok.com/@minnesota_halaalfood,2396,Minnesota food
nmbarber_7161,https://www.tiktok.com/@nmbarber_7161,2330,Minnesota barber
minnesotaa_mamaa,https://www.tiktok.com/@minnesotaa_mamaa,2305,Minnesota mom
downtownrochestermn,https://www.tiktok.com/@downtownrochestermn,2304,Rochester Minnesota
tina,https://www.tiktok.com/@tina,2231,Minnesota influencer
minnesotainfluencer,https://www.tiktok.com/@minnesotainfluencer,2231,Minnesota influencer
mnboundtv,https://www.tiktok.com/@mnboundtv,2130,Minnesota band
twincitiescon,https://www.tiktok.com/@twincitiescon,2038,Twin Cities TikTok
sarajaneboutique_,https://www.tiktok.com/@sarajaneboutique_,2036,Minnesota boutique
minnesotafinn,https://www.tiktok.com/@minnesotafinn,2030,Minnesota fitness
may,https://www.tiktok.com/@may,2004,Minnesota coffee
minacoffees,https://www.tiktok.com/@minacoffees,2004,Minnesota coffee
minnesotarenaissance,https://www.tiktok.com/@minnesotarenaissance,1987,Minnesota festival
carie3708,https://www.tiktok.com/@carie3708,1833,Minnesota girl
dillonnelson65,https://www.tiktok.com/@dillonnelson65,1806,Minnesota life
minnesotalife93,https://www.tiktok.com/@minnesotalife93,1806,Minnesota life
caraolline,https://www.tiktok.com/@caraolline,1745,Minnesota creator
cars.in.minnesota,https://www.tiktok.com/@cars.in.minnesota,1551,Minnesota creator
keandreachanel_,https://www.tiktok.com/@keandreachanel_,1504,Minneapolis creator
minnesotamamaof2,https://www.tiktok.com/@minnesotamamaof2,1483,Minnesota girl
mnrenaissance,https://www.tiktok.com/@mnrenaissance,1443,Minnesota festival
cailyns_b3nz,https://www.tiktok.com/@cailyns_b3nz,1360,Minnesota car
twincities19,https://www.tiktok.com/@twincities19,1357,Twin Cities TikTok
minnesota580arcticcat,https://www.tiktok.com/@minnesota580arcticcat,1326,Minnesota cat
crunchfitnessminnesota,https://www.tiktok.com/@crunchfitnessminnesota,1234,Minnesota fitness
rosevelena,https://www.tiktok.com/@rosevelena,1205,Roseville Minnesota
twincitieslive,https://www.tiktok.com/@twincitieslive,1168,Twin Cities TikTok
nestaboutique1,https://www.tiktok.com/@nestaboutique1,1056,Minnesota boutique
minnesotalife1990,https://www.tiktok.com/@minnesotalife1990,1055,Minnesota outdoors
huntersminnesotaoutdoors,https://www.tiktok.com/@huntersminnesotaoutdoors,1036,Minnesota outdoors
minnesotamodeltrains,https://www.tiktok.com/@minnesotamodeltrains,1035,Minnesota model
twin._cities,https://www.tiktok.com/@twin._cities,1020,Twin Cities TikTok
